episode,total_reward,duration_sec,steps,avg_reward_per_step,avg_reward_per_sec
534,1001.9396,349.60,62,16.1603,2.8660
535,833.6242,259.40,43,19.3866,3.2137
536,886.3934,311.78,51,17.3803,2.8430
537,648.9578,281.80,43,15.0920,2.3029
538,966.5162,310.33,53,18.2362,3.1145
539,959.2155,367.10,62,15.4712,2.6129
540,837.9547,311.04,50,16.7591,2.6940
541,812.1605,295.13,48,16.9200,2.7519
542,814.7582,300.33,48,16.9741,2.7129
543,1014.2522,381.32,66,15.3675,2.6599
544,955.0638,351.51,61,15.6568,2.7170
545,675.3290,300.65,49,13.7822,2.2462
546,881.5777,290.38,47,18.7570,3.0360
547,911.3578,322.81,55,16.5701,2.8232
548,679.9814,281.64,46,14.7822,2.4143
549,992.1921,374.84,65,15.2645,2.6470
550,1069.9800,380.25,68,15.7350,2.8139
551,218.1671,86.34,14,15.5834,2.5268
552,513.4161,221.80,34,15.1005,2.3148
553,870.2082,309.61,53,16.4190,2.8107
554,796.3591,296.36,48,16.5908,2.6872
555,981.3643,362.46,63,15.5772,2.7075
556,936.3186,337.73,59,15.8698,2.7724
557,1025.5237,366.30,64,16.0238,2.7997
558,961.3560,333.30,58,16.5751,2.8844
559,854.2785,325.17,54,15.8200,2.6272
560,1228.5975,427.91,79,15.5519,2.8711
561,1016.2761,361.19,64,15.8793,2.8137
562,647.9502,286.61,41,15.8037,2.2607
563,1036.2333,386.61,69,15.0179,2.6803
564,834.2004,308.14,51,16.3569,2.7072
565,1210.0641,426.48,77,15.7151,2.8374
566,647.3498,276.17,44,14.7125,2.3441
567,757.8952,291.74,48,15.7895,2.5979
568,866.2882,327.53,55,15.7507,2.6449
569,618.3632,234.39,39,15.8555,2.6382
570,136.8885,76.89,9,15.2098,1.7804
571,662.5171,258.60,39,16.9876,2.5619
572,1112.7508,398.74,70,15.8964,2.7907
573,809.6938,313.63,52,15.5710,2.5817
574,754.7577,270.59,41,18.4087,2.7893
575,823.9167,326.73,54,15.2577,2.5217
576,755.5861,280.96,45,16.7908,2.6893
577,803.1591,312.39,49,16.3910,2.5710
578,756.7949,277.11,43,17.5999,2.7311
579,889.4279,327.27,57,15.6040,2.7177
580,777.1480,314.49,49,15.8602,2.4712
581,1101.3484,399.52,72,15.2965,2.7566
582,758.9856,302.31,48,15.8122,2.5106
583,1009.1341,381.30,66,15.2899,2.6466
584,-289.8684,292.67,48,-6.0389,-0.9904
585,855.5212,319.75,53,16.1419,2.6756
586,817.1001,296.39,47,17.3851,2.7568
587,674.1068,274.13,42,16.0502,2.4591
588,773.9434,268.73,42,18.4272,2.8800
589,829.7174,319.54,54,15.3651,2.5966
